"id","name"
"Al","Alquiler de uso habitacional"
"Alc","Alquiler de uso comercial"
"Cm","Comisiones"
"I","Intereses"
"Os","Otro tipo de servicio"
"Sp","Servicios Profesionales"
"Spe","Servicios personales"
"St","Servicios técnicos"
"1","uno (indice de refracción)"
"´","minuto"
"´´","segundo"
"°C","grado Celsius"
"1/m","1 por metro"
"A","Ampere"
"A/m","ampere por metro"
"A/m²","ampere por metro cuadrado"
"B","bel"
"Bq","Becquerel"
"C","coulomb"
"C/kg","coulomb por kilogramo"
"C/m²","coulomb por metro cuadrado"
"C/m³","coulomb por metro cúbico"
"cd","Candela"
"cd/m²","candela por metro cuadrado"
"cm","centímetro"
"d","día"
"eV","electronvolt"
"F","farad"
"F/m","farad por metro"
"g","Gramo"
"Gal","Galón"
"Gy","gray"
"Gy/s","gray por segundo"
"H","henry"
"h","hora"
"H/m","henry por metro"
"Hz","hertz"
"J","Joule"
"J/(kg·K)","joule por kilogramo kelvin"
"J/(mol·K)","joule por mol kelvin"
"J/K","joule por kelvin"
"J/kg","joule por kilogramo"
"J/m³","joule por metro cúbico"
"J/mol","joule por mol"
"K","Kelvin"
"kat","katal"
"kat/m³","katal por metro cúbico"
"kg","Kilogramo"
"kg/m³","kilogramo por metro cúbico"
"Km","Kilometro"
"Kw","kilovatios"
"L","litro"
"lm","lumen"
"ln","pulgada"
"lx","lux"
"m","Metro"
"m/s","metro por segundo"
"m/s²","metro por segundo cuadrado"
"m²","metro cuadrado"
"m³","metro cúbico"
"min","minuto"
"mL","mililitro"
"mm","Milímetro"
"mol","Mol"
"mol/m³","mol por metro cúbico"
"N","newton"
"N/m","newton por metro"
"N·m","newton metro"
"Np","neper"
"º","grado"
"Oz","Onzas"
"Pa","pascal"
"Pa·s","pascal segundo"
"rad","radián"
"rad/s","radián por segundo"
"rad/s²","radián por segundo cuadrado"
"s","Segundo"
"S","siemens"
"sr","estereorradián"
"Sv","sievert"
"T","tesla"
"t","tonelada"
"u","unidad de masa atómica unificada"
"ua","unidad astronómica"
"Unid","Unidad"
"V","volt"
"V/m","volt por metro"
"W","Watt"
"W/(m·K)","watt por metro kevin"
"W/(m²·sr)","watt por metro cuadrado estereorradián"
"W/m²","watt por metro cuadrado"
"W/sr","watt por estereorradián"
"Wb","weber"
"Ω","ohm"
"Otros","Se debe indicar la descripción de la medida a utilizar"
